Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
31817749,"The Stone Sky (The Broken Earth, #3)",N.K. Jemisin,"Jemisin, N.K.",,"=""0356508684""","=""9780356508689""",3,4.37,Orbit,Paperback,416,2017,2017,,2018/08/24,,,read,,,,1,,,0,,,,,
26228034,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""0356508366""","=""9780356508368""",4,4.34,Orbit,Paperback,410,2016,2016,2018/08/22,2018/07/24,,,read,,,,1,,,0,,,,,
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu","Cixin Liu, Ken Liu","=""0765377063""","=""9780765377067""",5,4.06,Tor Books,Hardcover,400,2014,2008,2018/08/20,2018/07/24,,,read,,,,1,,,0,,,,,
9531737,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""""","=""""",4,4.58,Daw,Kindle Edition,1000,2011,2011,,2018/07/28,,,read,,,,1,,,0,,,,,
26138161,"How to Finish Your Dissertation in Six Months, Even if You Don't Know What to Write",Scott Rank,"Rank, Scott",,"=""""","=""""",3,3.86,Scholarpreneur Press,Kindle Edition,23,2015,2015,,2018/07/28,,,read,,,,1,,,0,,,,,
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4,4.32,Orbit,Paperback,468,2015,2015,,2018/07/24,,,read,,,,1,,,0,,,,,
33257757,"Iron Gold (Red Rising, #4)",Pierce Brown,"Brown, Pierce",,"=""042528591X""","=""9780425285916""",3,4.23,Del Rey Books,Hardcover,601,2018,2018,,2018/07/24,,,read,,,,1,,,0,,,,,
36282261,"Comrade Haldane Is Too Busy to Go on Holiday: JBS Haldane, Communism, and Espionage",Gavan Tredoux,"Tredoux, Gavan",,"=""1594039836""","=""9781594039836""",0,3.00,Encounter Books,Hardcover,464,2018,2018,,2018/07/24,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
23878688,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,"Chapman, Gary",,"=""""","=""""",5,4.24,Northfield Publishing,Kindle Edition,209,2014,1990,,2018/07/24,,,read,,,,1,,,0,,,,,
12828071,The Anatomy of Story: 22 Steps to Becoming a Master Storyteller,John Truby,"Truby, John",,"=""""","=""""",0,4.27,Faber & Faber,Kindle Edition,461,2008,2007,,2018/06/21,"shelved, to-read","shelved (#2), to-read (#5)",to-read,,,,0,,,0,,,,,
