Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
5fe49c94-6c8e-40c9-8d7d-2fe5a9a441b0,2017-09-15 05:57:02,Running,,2.44,24:14,9:56,6.04,396.0,67,,"","",2017-09-15-055702.gpx
139d1d49-5538-4a01-9e60-ca0dbe248890,2017-08-26 15:01:48,Running,,1.60,16:34,10:21,5.80,261.0,62,,"","",2017-08-26-150148.gpx
bfb8e043-78eb-4999-a208-70cc332077b7,2017-08-25 06:31:20,Running,,1.89,21:31,11:23,5.27,303.0,69,,"","",2017-08-25-063120.gpx
f74a1e91-a003-4ba9-a376-02080df4fd17,2017-08-23 06:25:32,Running,,2.12,23:26,11:02,5.44,341.0,85,,"","Hit my head on tree",2017-08-23-062532.gpx
39055b72-123a-4834-989b-2102ea278d91,2017-08-18 06:44:35,Running,,1.20,12:58,10:50,5.54,197.0,40,,"","",2017-08-18-064435.gpx
d0f73b5e-9997-4c49-96af-c98ad6f5c1a2,2017-07-12 06:34:36,Running,,1.47,15:15,10:21,5.79,243.0,43,,"","",2017-07-12-063436.gpx
a8ebb1b2-b83c-4090-8f6e-6d00e2f14c90,2017-06-13 18:23:28,Running,,1.65,17:32,10:38,5.65,277.0,51,,"","",2017-06-13-182328.gpx
c25c1b96-7df1-4e41-9f24-2292a0f02018,2017-05-22 07:04:35,Running,,0.60,6:23,10:36,5.66,106.0,34,,"","",2017-05-22-070435.gpx
9c334afc-1bcd-413d-bc6b-f8adc3b15bbf,2017-05-22 06:54:58,Running,,0.70,8:03,11:27,5.24,117.0,9,,"","",2017-05-22-065458.gpx
abe8c09c-e3a1-445c-ac27-e2a63c1efe32,2017-05-21 06:43:37,Running,,2.20,24:17,11:01,5.45,367.0,66,,"","",2017-05-21-064337.gpx
6a18140a-84bf-4c71-90f7-c68725700a1a,2017-05-16 07:09:22,Running,,1.94,20:56,10:48,5.55,326.0,69,,"","",2017-05-16-070922.gpx
fb93992e-f2db-4747-b86c-6adf7c281ace,2017-05-14 17:37:28,Running,,2.73,30:09,11:02,5.44,456.0,97,,"","",2017-05-14-173728.gpx
189037ba-af36-4dfa-9d70-6ae003870a59,2017-05-10 06:28:09,Running,,1.77,20:20,11:29,5.23,306.0,58,,"","",2017-05-10-062809.gpx
941b9d03-3391-4eab-a1f3-eb3a33823a96,2017-05-08 18:41:56,Running,,2.66,25:43,9:41,6.20,442.0,85,,"Christopher Schlosberg,","Chris",2017-05-08-184156.gpx
ef7cea36-a21b-4079-89cd-0971bf31f96c,2017-05-02 18:43:20,Running,,3.01,32:51,10:55,5.50,522.0,116,,"","",2017-05-02-184320.gpx
84eb97ec-f854-45bd-9dc2-ad9ac33a1dd4,2017-05-01 18:55:35,Running,,1.78,18:47,10:34,5.68,280.0,94,,"","",2017-05-01-185535.gpx
