Date,Fitbit body fat %,Fitbit steps,Fitbit tracked sleep minutes,Weight
2016-11-12,,10685.0,448.0,
2016-11-13,,9071.0,,
2016-11-14,,2345.0,509.0,
2016-11-15,,6422.0,500.0,
2016-11-16,,4655.0,487.0,
2016-11-17,,5093.0,524.0,
2016-11-18,,3068.0,,
2016-11-19,,11359.0,,
2016-11-20,,45.0,,
2016-11-21,,7595.0,,
2016-11-22,,17426.0,,
2016-11-23,,10294.0,,
2016-11-24,,4699.0,172.0,
2016-11-25,,4248.0,,
2016-11-26,,7067.0,,
2016-11-27,,6734.0,,
2016-11-28,,3650.0,508.0,
2016-11-29,,15.0,627.0,
2016-11-30,,3424.0,,
2016-12-01,,5313.0,402.0,
2016-12-02,,3314.0,523.0,
2016-12-03,,7569.0,,
2016-12-04,,0.0,,
2016-12-05,,2671.0,143.0,
2016-12-06,,3443.0,,
2016-12-07,,0.0,,
2016-12-08,,0.0,,
2016-12-09,,3012.0,,
2016-12-10,,8081.0,95.0,
2016-12-11,,8008.0,,
2016-12-12,,3721.0,410.0,
2016-12-13,,3610.0,453.0,
2016-12-14,,4298.0,515.0,
2016-12-15,,1275.0,,
2016-12-16,,7068.0,501.0,
2016-12-17,,7298.0,479.0,
2016-12-18,,6589.0,319.0,
2016-12-19,,5249.0,424.0,
2016-12-20,,1302.0,511.0,
2016-12-21,,5893.0,463.0,
2016-12-22,,6318.0,,
2016-12-23,,3838.0,488.0,
2016-12-24,,6317.0,524.0,
2016-12-25,,6604.0,374.0,
2016-12-26,,5280.0,485.0,
2016-12-27,,4176.0,235.0,
2016-12-28,,4013.0,191.0,
2016-12-29,,4836.0,510.0,
2016-12-30,,7129.0,,
2016-12-31,,7149.0,496.0,
2017-01-01,,0.0,,
2017-01-02,,6.0,,
2017-01-03,,8392.0,575.0,
2017-01-04,,4254.0,432.0,
2017-01-05,,6234.0,450.0,
2017-01-06,,8286.0,,
2017-01-07,,9362.0,429.0,
2017-01-08,,4333.0,356.0,
2017-01-09,,6503.0,505.0,
2017-01-10,,39.0,198.0,
2017-01-11,,6320.0,494.0,
2017-01-12,,4133.0,463.0,
2017-01-13,,3715.0,334.0,
2017-01-14,,4163.0,491.0,
2017-01-15,,5502.0,348.0,
2017-01-16,,4799.0,510.0,
2017-01-17,,7866.0,,
2017-01-18,,4684.0,505.0,
2017-01-19,,5057.0,499.0,
2017-01-20,,718.0,455.0,
2017-01-21,,5192.0,257.0,
2017-01-22,,0.0,112.0,
2017-01-23,,4415.0,86.0,
2017-01-24,,6101.0,490.0,
2017-01-25,,100.0,,
2017-01-26,,4021.0,536.0,
2017-01-27,,3799.0,579.0,
2017-01-28,,14159.0,,
2017-01-29,,6506.0,,
2017-01-30,,5129.0,291.0,
2017-01-31,,4328.0,468.0,
2017-02-01,,81.0,549.0,
2017-02-02,,3086.0,443.0,
2017-02-03,,0.0,415.0,
2017-02-04,,0.0,,
2017-02-05,,0.0,,
2017-02-06,,3981.0,516.0,
2017-02-07,,5755.0,511.0,
2017-02-08,,3562.0,571.0,
2017-02-09,,4041.0,478.0,
2017-02-10,,0.0,511.0,
2017-02-11,,10286.0,,
2017-02-12,,60.0,0.0,
2017-02-13,,5381.0,407.0,
2017-02-14,,3839.0,462.0,
2017-02-15,,4864.0,,
2017-02-16,,3513.0,461.0,
2017-02-17,,1578.0,608.0,
2017-02-18,,6180.0,,
2017-02-19,,173.0,,
2017-02-20,,0.0,,
2017-02-21,,8241.0,53.0,235.0
2017-02-22,,3088.0,507.0,
2017-02-23,,360.0,457.0,
2017-02-24,,2626.0,,
2017-02-25,,7748.0,515.0,
2017-02-26,,4268.0,,
2017-02-27,,4033.0,344.0,
2017-02-28,,6639.0,447.0,
2017-03-01,,4619.0,,239.9
2017-03-02,,7037.0,516.0,
2017-03-03,,5682.0,450.0,240.0
2017-03-04,,15731.0,141.0,
2017-03-05,,6778.0,,
2017-03-06,,2179.0,103.0,
2017-03-07,,0.0,514.0,
2017-03-08,,2482.0,,
2017-03-09,,211.0,,241.2
