eventID,AfterInhMATRIX5,PrescaleMATRIX5,RawMATRIX4,RawTriggers,label
435350,48996,20,3588536,12840908,7
435351,49942,21,3455243,13047677,6
435352,41135,17,2980070,12371837,4
435353,60075,25,3876407,13585705,3
435354,64641,27,3829417,14006111,3
435355,41712,17,2982388,12418568,2
435356,51836,21,3300004,12940439,1
435357,49364,21,3452074,12869787,1
435358,53875,22,3326791,13339662,1
435359,51384,21,3344886,12996011,1
435360,54465,23,3349866,13388238,1
435363,46885,20,3376649,12454899,1
435364,46200,19,3405928,12341839,1
435365,53101,22,3195228,13014519,1
435366,37421,15,2938576,11622929,2
435367,60440,25,3717436,13368878,3
435368,63738,27,3802705,13821883,3
435369,60831,25,3983857,13716652,3
435370,39037,16,3191994,12119104,4
435371,55652,23,3732891,13497945,5
435372,47250,19,3629263,12709830,6
435373,47120,20,3690487,12574890,7
435374,49336,20,3468858,12664667,6
435375,33768,14,3330523,11353207,4
435376,56829,24,4035836,13198139,3
435377,55974,23,4206385,13186315,3
435378,31528,13,3354307,11141718,2
435379,48669,20,3564324,12807938,1
435380,43145,18,3777354,12230398,1
435381,43765,18,3736961,12397370,1
435382,50072,21,3587061,12990294,1
435383,44303,18,3585487,12192893,1
435384,46028,19,3599328,12431043,1
435385,51838,22,3391144,13047875,1
435386,45022,18,3708874,12558412,1
435387,48882,20,3520703,12794383,1
435388,44865,19,3683128,12543332,1
435389,35587,15,3239986,11507927,2
435390,62753,26,3856760,13698969,3
435391,52317,21,4130553,12803360,3
435393,35243,15,3221227,11602342,4
435394,42549,17,4155425,12194714,5
435395,45271,19,3662347,12381454,6
435396,39929,17,3999476,11934423,7
435397,39329,16,3900142,11840063,6
435398,37747,15,3033917,11754089,4
435399,50284,21,4218331,12607042,3
435400,52706,22,4131246,12747065,3
435402,42112,18,3665906,11988853,1
435403,41944,17,3762624,12098532,1
435404,48959,20,3398458,12705121,1
435405,41997,17,3673648,11844917,1
435406,44148,19,3580807,12139038,1
435407,48518,20,3410717,12534502,1
435408,43933,18,3549602,12087551,1
435409,45463,19,3547247,12337487,1
435410,48277,20,3450780,12677972,1
435411,42931,17,3702420,12195299,1
435412,36622,16,3184761,11682200,2
435413,60759,25,3845560,13469176,3
435414,57483,24,3966209,13262015,3
435415,68065,28,3583943,14064133,3
435418,50014,20,3489790,12944526,6
435419,53078,22,3427471,13117551,7
435420,47382,20,3493426,12589632,6
435421,35941,15,3126790,11444165,4
435422,64081,26,3657212,13562594,3
435423,50432,21,4274733,12691145,3
435424,34694,14,3200503,11386692,2
435425,48772,20,3545654,12722658,1
435426,41215,17,3738000,11929079,1
435427,47281,20,3467208,12415657,1
435428,50138,21,3389298,12834172,1
435429,47661,19,3379241,12422479,1
435430,51518,22,3222846,12759075,1
435431,47083,19,3508243,12598793,1
435432,50710,21,3478850,12951118,1
435433,48749,20,3521701,12734698,1
435434,44866,19,3511835,12239108,1
435435,40503,17,2929631,12013510,2
435436,57065,23,4010052,13099415,3
435437,59721,25,3786005,13222489,3
435438,65053,27,3654147,13660759,3
435439,37998,16,3088024,11859272,4
435440,54357,22,3568254,12876502,5
435443,43973,18,3733751,12199040,6
435444,36778,15,3147057,11635658,4
435445,57674,24,4123583,13413648,3
435446,57921,24,4100309,13408511,3
435447,38865,16,3051303,11944282,2
435448,48848,21,3527801,12751050,1
435449,52872,21,3382129,13040933,1
435451,51956,22,3236147,12730888,1
435452,49479,20,3423030,12651148,1
435453,49378,21,3360403,12693445,1
435454,45793,19,3661029,12493896,1
435455,45914,19,3520341,12310250,1
435456,46309,19,3437615,12285036,1
435457,45377,19,3442518,12205701,1
435458,36749,15,2744118,11141519,2
435459,57947,24,3525811,12803361,3
435460,54942,22,3603272,12465805,3
435461,53707,23,3510927,12256778,3
435462,35887,14,2684741,11035105,4
435463,45704,19,3084807,11482551,5
435464,45967,19,2835801,11634192,6
435465,45479,19,2883356,11441121,7
435466,45683,19,2804766,11570424,6
435467,37147,15,2484955,11053848,4
435468,52947,22,3307852,11961536,3
435469,54054,23,3431803,12214747,3
435470,33276,13,2735207,10653568,2
435471,42195,18,3193279,11458714,1
435472,43084,18,2985030,11373550,1
435478,49088,20,2683208,11885098,1
435480,50387,21,2778577,12138046,1
435481,39768,16,2491888,11354780,2
435482,62555,26,3315322,13103628,3
435497,42589,17,3020336,11431635,1
435498,44065,18,3158612,11783538,1
435499,44393,19,3076278,11672110,1
435500,43899,18,2989112,11550605,1
435501,43889,18,3161012,11675266,1
435502,43006,18,3145510,11584925,1
435503,43971,18,3130419,11661379,1
435504,35385,14,2637949,10904526,2
435505,56791,24,3318939,12499162,3
435506,55919,23,3204411,12158463,3
435507,57774,24,3192376,12316179,3
435508,33685,14,2742271,10876332,4
435510,48817,20,2837281,12034214,6
435511,49497,21,2776740,11951162,7
435512,49428,20,2854752,12217831,6
435513,39355,16,2488934,11358334,4
435514,63891,27,3255265,13225954,3
435515,65268,27,3173336,13196632,3
435516,40477,16,2423606,11380854,2
435517,50392,21,2757045,12128939,1
435518,51276,21,2852224,12367524,1
435519,50258,21,2951563,12436398,1
435520,51425,21,2841289,12276622,1
435521,47871,20,3046358,12126260,1
435522,48261,20,2975221,12041706,1
435524,46897,20,3096770,11959984,1
435525,50930,21,3025930,12473565,1
435526,48583,20,3040697,12145073,1
435527,39934,16,2659772,11644527,2
435528,65373,27,3117122,13181171,3
435529,61831,26,3109791,12803978,3
435530,60605,25,3178332,12668512,3
435531,37714,16,2615317,11234901,4
435532,48292,19,3181500,11856604,5
435533,47368,20,3069510,12056627,6
435534,47920,20,3092760,12078899,7
435535,47808,20,2999630,12052677,6
435536,37941,15,2494568,11008853,4
435537,59692,25,3240326,12631034,3
435538,60512,25,3424182,12865212,3
435539,39857,16,2472531,11330443,2
435540,49938,21,2886687,12154048,1
435543,52308,22,3403772,13147804,1
435544,54057,22,3326416,13133344,1
435545,51746,21,3263901,12913993,1
435546,50397,21,3279621,12692257,1
